subj	itemID	cond	Acc
S03	i014	RD	1
S03	i015	UD	1
S03	i016	RC	1
S03	i017	UD	1
S03	i018	RC	1
S03	i019	RC	1
S03	i020	UC	1
S03	i021	UD	1
S03	i022	UC	1
S03	i023	RC	1
S03	i024	RD	1
S03	i025	UC	1
S03	i026	RC	1
S03	i027	RC	1
S03	i028	UC	1
S03	i029	UD	1
S03	i030	RD	1
S03	i031	RC	1
S03	i032	RC	1
S03	i033	UC	1
S03	i034	RD	1
S03	i035	RD	1
S03	i036	RD	1
S03	i037	RD	1
S03	i038	RD	0
S03	i039	RD	1
S03	i040	UD	1
S03	i041	UC	1
S03	i042	UD	1
S03	i043	UD	1
S03	i044	RD	1
S03	i045	UC	1
S03	i046	RD	1
S03	i047	RC	1
S03	i048	UD	1
S03	i049	RD	1
S03	i050	RD	1
S03	i051	UD	1
S03	i052	UD	1
S03	i053	RD	1
S03	i054	UC	1
S03	i055	UC	1
S03	i056	RD	0
S03	i057	RC	1
S03	i058	UD	1
S03	i059	UD	1
S03	i060	RD	1
S03	i061	RD	1
S03	i062	UC	1
S03	i063	UD	1
S03	i064	RD	1
S03	i065	RC	1
S03	i066	UC	1
S03	i067	UD	1
S03	i068	RC	1
S03	i069	UD	1
S03	i070	RC	1
S03	i071	UD	1
S03	i072	UC	1
S03	i073	RC	1
S03	i074	UD	1
S03	i075	UD	1
S03	i076	UD	1
S03	i077	RC	1
S03	i078	UC	1
S03	i079	UD	1
S03	i080	RC	1
S03	i081	UD	1
S03	i082	UD	0
S03	i083	RD	1
S03	i084	UC	1
S03	i085	UD	1
S03	i086	UC	1
S03	i087	UD	1
S03	i088	UD	1
S03	i089	RD	1
S03	i090	RC	1
S03	i091	RD	1
S03	i092	RC	1
S03	i093	UC	1
S03	i094	RD	1
S03	i095	RC	1
S03	i096	UC	1
S03	i097	UC	1
S03	i098	RD	1
S03	i099	RD	1
S03	i100	RD	1
S03	i101	UC	1
S03	i102	RC	1
S03	i103	RC	1
S03	i104	RC	1
S03	i105	RC	1
S03	i106	RD	1
S03	i107	UC	1
S03	i108	UC	1
S03	i109	UC	1
S03	i110	RC	1
S03	i111	UD	1
S03	i112	UC	1
S03	i113	UC	1
S03	i114	UC	1
S03	i115	RD	1
S03	i116	RD	1
S03	i117	UC	1
S03	i118	RD	0
S03	i119	UD	1
S03	i120	RC	1
S04	i001	UC	1
S04	i002	RC	1
S04	i003	UD	1
S04	i004	RC	1
S04	i005	RC	1
S04	i006	UD	1
S04	i007	RC	1
S04	i008	UC	1
S04	i009	RD	1
S04	i010	UC	1
S04	i011	UD	1
S04	i012	RC	1
S04	i013	UC	1
S04	i014	RD	1
S04	i015	UD	1
S04	i016	RC	1
S04	i017	UD	1
S04	i018	RC	1
S04	i019	RC	1
S04	i020	UC	1
S04	i021	UD	1
S04	i022	UC	1
S04	i023	RC	1
S04	i024	RD	1
S04	i025	UC	1
S04	i026	RC	1
S04	i027	RC	1
S04	i028	UC	1
S04	i029	UD	1
S04	i030	RD	1
S04	i031	RC	1
S04	i032	RC	1
S04	i033	UC	1
S04	i034	RD	1
S04	i035	RD	1
S04	i036	RD	1
S04	i037	RD	1
S04	i038	RD	1
S04	i039	RD	1
S04	i040	UD	1
S04	i041	UC	1
S04	i042	UD	1
S04	i043	UD	1
S04	i044	RD	1
S04	i045	UC	1
S04	i046	RD	1
S04	i047	RC	1
S04	i048	UD	1
S04	i049	RD	1
S04	i050	RD	1
S04	i051	UD	1
S04	i052	UD	1
S04	i053	RD	1
S04	i054	UC	1
S04	i055	UC	1
S04	i056	RD	1
S04	i057	RC	1
S04	i058	UD	1
S04	i059	UD	1
S04	i060	RD	1
S04	i061	RD	1
S04	i062	UC	1
S04	i063	UD	1
S04	i064	RD	1
S04	i065	RC	1
S04	i066	UC	1
S04	i067	UD	1
S04	i068	RC	1
S04	i069	UD	1
S04	i070	RC	1
S04	i071	UD	1
S04	i072	UC	1
S04	i073	RC	1
