S CC TrialNum Contrast TargetType PrimeRelation PrimeShown TargetShown RT score
S1 cc1 113 Degraded NW Unr helium INTERVESS 685 C
S1 cc1 114 Degraded NW Unr toad WINT 673 C
S1 cc1 115 Degraded NW Unr weak OVERTAGE 1126 C
S1 cc1 116 Degraded NW Unr child GLIPS 727 C
S1 cc1 117 Clear HF Unr guest PRESENT 569 C
S1 cc1 118 Degraded NW Unr algebra HISE 834 C
S1 cc1 119 Clear HF Unr gloves BREATH 528 C
S1 cc1 120 Degraded HF Rel society PEOPLE 522 C
S1 cc1 121 Clear NW Unr choose INTERMIET 644 C
S1 cc1 122 Clear NW Unr aunt BLIDE 633 C
S1 cc1 123 Clear HF Unr century GONE 656 C
S1 cc1 124 Degraded NW Unr bitter CORTED 500 C
S1 cc1 125 Degraded LF Unr anxiety OCEAN 496 C
S1 cc1 126 Clear LF Rel shame GUILT 715 C
S1 cc1 127 Clear NW Unr rock NAIN 621 C
S1 cc1 128 Degraded NW Unr motor ENJOLK 563 C
S1 cc1 129 Degraded NW Unr cape EXMIRD 492 C
S1 cc1 130 Degraded NW Unr hoop TASHED 951 C
S1 cc1 131 Degraded NW Unr kitten SARPS 625 C
S1 cc1 132 Degraded NW Unr quiet TERE 598 C
S1 cc1 133 Clear LF Unr captive JOKE 509 C
S1 cc1 134 Degraded NW Unr razor NIDE 648 C
S1 cc1 135 Degraded NW Unr spank GOIL 637 C
S1 cc1 136 Clear NW Unr moon GAFT 578 C
S1 cc1 137 Clear NW Unr rhythm FAFT 571 C
S1 cc1 138 Degraded NW Unr wasted WEERD 515 C
S1 cc1 139 Clear LF Rel buckle SHOE 462 C
S1 cc1 140 Degraded NW Unr coral TIET 457 C
S1 cc1 141 Degraded LF Unr orchid DEFEND 518 E
S1 cc1 142 Degraded HF Unr piano HEART 505 C
S1 cc1 143 Degraded LF Rel stingy CHEAP 644 C
S1 cc1 144 Degraded HF Rel squad POLICE 473 C
S1 cc1 145 Clear NW Unr danger CRIG 1981 C
S1 cc1 146 Clear HF Unr stiff WHEN 589 C
S1 cc1 147 Clear LF Unr crumb BALLOON 597 C
S1 cc1 148 Degraded LF Rel snorkel SWIM 540 C
S1 cc1 149 Degraded NW Unr calm PLOGED 582 C
S1 cc1 150 Degraded HF Rel brave STRONG 541 C
S1 cc1 151 Clear HF Rel marble FLOOR 583 C
S1 cc1 152 Degraded NW Unr singer PROWAMP 543 C
S1 cc1 153 Degraded LF Rel monk PRIEST 504 E
S1 cc1 154 Clear NW Unr judge DIATHED 714 C
S1 cc1 155 Clear NW Unr cement BUCT 925 C
S1 cc1 156 Degraded LF Rel yarn WOOL 551 C
S1 cc1 157 Clear NW Unr house GOUPER 704 C
S1 cc1 158 Clear NW Unr explode MEERS 1235 C
S1 cc1 159 Clear NW Unr soar GIAL 594 C
S1 cc1 160 Clear HF Unr novel PULL 520 C
S1 cc1 161 Clear NW Unr cracker VIRED 594 C
S1 cc1 162 Clear NW Unr fill PORM 1498 C
S1 cc1 163 Degraded NW Unr chance FARPER 670 C
S1 cc1 164 Degraded HF Unr mare COLD 849 E
S1 cc1 165 Degraded NW Unr chair UNSOADER 583 C
S1 cc1 166 Clear HF Rel parent FATHER 575 C
S1 cc1 167 Degraded LF Unr plum VAMPIRE 663 C
S1 cc1 168 Degraded LF Unr physics UGLY 651 C
S1 cc1 169 Clear NW Unr middle SUBRUCT 673 C
S1 cc1 170 Clear NW Unr plain DANDEL 566 C
S1 cc1 171 Degraded HF Rel retain HOLD 509 C
S1 cc1 172 Degraded LF Rel tarnish SILVER 696 C
S1 cc1 173 Clear NW Unr shelter CATHE 891 C
S1 cc1 174 Clear LF Unr robbery ROCKET 455 C
S1 cc1 175 Clear LF Unr stale OYSTER 564 C
S1 cc1 176 Degraded NW Unr brain GORT 573 C
S1 cc1 177 Clear NW Unr shake ANTIVORM 501 C
S1 cc1 178 Clear NW Unr penny POAL 449 E
S1 cc1 179 Degraded NW Unr neat DURFER 741 C
S1 cc1 180 Degraded HF Rel domain HOME 551 C
S1 cc1 181 Clear LF Unr graft HEAT 576 C
S1 cc1 182 Degraded NW Unr racket BAVE 600 E
S1 cc1 183 Degraded HF Unr decide MOUTH 695 C
S1 cc1 184 Clear NW Unr shiver NIFTS 587 C
S1 cc1 185 Clear LF Rel vest JACKET 755 C
S1 cc1 186 Degraded LF Unr spade STAMP 756 C
S1 cc1 187 Degraded NW Unr square REMOLKS 709 C
S1 cc1 188 Clear LF Unr latch CRASH 569 C
S1 cc1 189 Degraded HF Rel storage SPACE 608 C
S1 cc1 190 Degraded NW Unr worth VAKER 759 C
S1 cc1 191 Clear NW Unr turtle DISMONG 680 C
S1 cc1 192 Degraded LF Unr mask NAVY 621 C
S1 cc1 193 Clear NW Unr corpse BOULER 623 E
S1 cc1 194 Degraded HF Rel theory IDEA 556 C
